gougeevent_id,M0_mean,Tw_mean,Mw_mean,hat_sn_patch,hat_sn_background,delsig_withmargin_try,slip_try,initialstress_fraction,delsigma_factor,fp_patch,hat_fr,hat_fp_background,hat_fr_background,dc_try,hat_ds_factor_rapidnuc_nuc,hat_ds_factor_rapidnuc_patch,tau_c_nuc,tau_r_nuc,tau_c_patch,tau_r_patch,tau_c_background,tau_r_background,tau_0_nuc,tau_0_patch,tau_0_background,GIIC_nuc,GIIC_patch,GIIC_background,Sratio_nuc,Sratio_patch,Ainit_nuc,Ainit_patch,Anuc_nuc,Anuc_patch,rnuc_nuc,rnuc_patch
40,2.03866652e-01,2.16068807e-06,-6.53043587e+00,6.00000000e+06,2.00000000e+06,1.31323896e+06,1.01193542e-07,9.25000000e-01,6.00000000e-01,4.66296104e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.61266062e-08,5.50000000e+00,5.50000000e+00,2.79777662e+06,1.80000000e+06,2.79777662e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.63970224e+06,2.58794338e+06,2.80000000e+05,1.30342584e-02,1.30342584e-02,0.00000000e+00,0,2.66304982e-01,3.82000000e+00,3.86249657e+00,3.88695132e-06,3.93019270e-06,1.11231966e+00,1.11848969e+00
43,1.86633400e-01,2.36259417e-06,-6.55600709e+00,6.00000000e+06,2.00000000e+06,1.20222827e+06,9.26394513e-08,9.25000000e-01,6.00000000e-01,4.54294948e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.47781516e-08,5.50000000e+00,5.50000000e+00,2.72576969e+06,1.80000000e+06,2.72576969e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.57176370e+06,2.52133696e+06,2.80000000e+05,1.14694308e-02,1.14694308e-02,0.00000000e+00,0,2.83408084e-01,3.82000000e+00,3.87061933e+00,4.06108098e-06,4.11489491e-06,1.13696184e+00,1.14447007e+00
44,6.95001543e-02,2.44810841e-06,-6.84200949e+00,6.00000000e+06,2.00000000e+06,4.47696127e+05,3.44978774e-08,9.25000000e-01,6.00000000e-01,3.72723906e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.36983023e-08,5.50000000e+00,5.50000000e+00,2.23634343e+06,1.80000000e+06,2.23634343e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.10999003e+06,2.06861768e+06,2.80000000e+05,2.98858213e-03,2.98858213e-03,0.00000000e+00,0,6.24403279e-01,3.82000000e+00,4.28590266e+00,5.58709885e-06,6.26852404e-06,1.33357744e+00,1.41256263e+00
50,3.27197124e-01,2.57681224e-06,-6.39346035e+00,6.00000000e+06,2.00000000e+06,2.10769151e+06,1.62411241e-07,9.25000000e-01,5.00000000e-01,5.14206442e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.47025166e-08,5.50000000e+00,5.50000000e+00,3.08523865e+06,1.80000000e+06,3.08523865e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.91092267e+06,2.85384575e+06,2.80000000e+05,2.23005079e-02,2.23005079e-02,0.00000000e+00,0,2.19569987e-01,3.82000000e+00,3.84470917e+00,4.13298795e-06,4.15972163e-06,1.14698340e+00,1.15068698e+00
52,4.82490139e-01,2.60096489e-06,-6.28100771e+00,6.00000000e+06,2.00000000e+06,3.10803578e+06,2.39494226e-07,9.25000000e-01,4.60000000e-01,5.81927290e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.38095053e-08,5.50000000e+00,5.50000000e+00,3.49156374e+06,1.80000000e+06,3.49156374e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.29429039e+06,3.22969646e+06,2.80000000e+05,3.70532853e-02,3.70532853e-02,0.00000000e+00,0,1.83162852e-01,3.82000000e+00,3.83484606e+00,3.80250434e-06,3.81728240e-06,1.10017032e+00,1.10230609e+00
61,7.40953619e-01,2.61373977e-06,-6.15680598e+00,6.00000000e+06,2.00000000e+06,4.77296876e+06,3.67788063e-07,9.25000000e-01,6.00000000e-01,8.40320947e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.66695676e-08,5.50000000e+00,5.50000000e+00,5.04192568e+06,1.80000000e+06,5.04192568e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.75705688e+06,4.66378125e+06,2.80000000e+05,9.18592632e-02,9.18592632e-02,0.00000000e+00,0,1.32043753e-01,3.82000000e+00,3.82591909e+00,1.73222156e-06,1.73490564e-06,7.42551849e-01,7.43126919e-01
62,5.91411187e-01,2.53935771e-06,-6.22207364e+00,6.00000000e+06,2.00000000e+06,3.80966777e+06,2.93559501e-07,9.25000000e-01,6.00000000e-01,7.36180299e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.95004339e-08,5.50000000e+00,5.50000000e+00,4.41708179e+06,1.80000000e+06,4.41708179e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.16751667e+06,4.08580066e+06,2.80000000e+05,6.47733422e-02,6.47733422e-02,0.00000000e+00,0,1.44930020e-01,3.82000000e+00,3.82768941e+00,2.02811778e-06,2.03220024e-06,8.03473670e-01,8.04281934e-01
69,2.58748883e-01,2.11161178e-06,-6.46141434e+00,6.00000000e+06,2.00000000e+06,1.66677145e+06,1.28435503e-07,9.25000000e-01,6.00000000e-01,5.04515832e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.01441037e-08,5.50000000e+00,5.50000000e+00,3.02709499e+06,1.80000000e+06,3.02709499e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.85606412e+06,2.80006287e+06,2.80000000e+05,1.84948393e-02,1.84948393e-02,0.00000000e+00,0,2.27017852e-01,3.82000000e+00,3.84713730e+00,3.42103987e-06,3.44534295e-06,1.04352806e+00,1.04722811e+00
72,8.10726230e-01,2.60537201e-06,-6.13075052e+00,6.00000000e+06,2.00000000e+06,5.22241996e+06,4.02421180e-07,9.25000000e-01,4.30000000e-01,7.28944249e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.98135831e-08,5.50000000e+00,5.50000000e+00,4.37366549e+06,1.80000000e+06,4.37366549e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.12655339e+06,4.04564058e+06,2.80000000e+05,7.69700774e-02,7.69700774e-02,0.00000000e+00,0,1.46071867e-01,3.82000000e+00,3.82786086e+00,3.06200004e-06,3.06830107e-06,9.87251175e-01,9.88266444e-01
77,7.78312237e-01,2.63118867e-06,-6.14256409e+00,6.00000000e+06,2.00000000e+06,5.01362015e+06,3.86331806e-07,9.25000000e-01,6.00000000e-01,8.66337313e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.83670307e-08,5.50000000e+00,5.50000000e+00,5.19802388e+06,1.80000000e+06,5.19802388e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.90433553e+06,4.80817209e+06,2.80000000e+05,9.91662819e-02,9.91662819e-02,0.00000000e+00,0,1.29597569e-01,3.82000000e+00,3.82561610e+00,1.67260003e-06,1.67505906e-06,7.29660965e-01,7.30197137e-01
85,4.84827366e-01,2.29243073e-06,-6.27960858e+00,6.00000000e+06,2.00000000e+06,3.12309139e+06,2.40654358e-07,9.25000000e-01,6.00000000e-01,6.61955826e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.39367126e-08,5.50000000e+00,5.50000000e+00,3.97173496e+06,1.80000000e+06,3.97173496e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.74733193e+06,3.67385484e+06,2.80000000e+05,4.77094474e-02,4.77094474e-02,0.00000000e+00,0,1.58966488e-01,3.82000000e+00,3.82997027e+00,2.32033787e-06,2.32639399e-06,8.59410544e-01,8.60531351e-01
88,1.25874272e+00,2.41356275e-06,-6.00337535e+00,6.00000000e+06,2.00000000e+06,8.10838833e+06,6.24803679e-07,9.25000000e-01,6.00000000e-01,1.20090685e+00,3.00000000e-01,4.00000000e-01,4.00000000e-01,7.78820667e-08,5.50000000e+00,5.50000000e+00,7.20544108e+06,1.80000000e+06,7.20544108e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,6.79833366e+06,6.66503300e+06,2.80000000e+05,2.10493461e-01,2.10493461e-01,0.00000000e+00,0,1.11080044e-01,3.82000000e+00,3.82364146e+00,1.17685353e-06,1.17797537e-06,6.12049109e-01,6.12340761e-01
89,4.92010050e-01,2.47531120e-06,-6.27535068e+00,6.00000000e+06,2.00000000e+06,3.16935978e+06,2.44219636e-07,9.25000000e-01,6.00000000e-01,6.66957814e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.43261150e-08,5.50000000e+00,5.50000000e+00,4.00174688e+06,1.80000000e+06,4.00174688e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,3.77564818e+06,3.70161587e+06,2.80000000e+05,4.87974428e-02,4.87974428e-02,0.00000000e+00,0,1.57829466e-01,3.82000000e+00,3.82977117e+00,2.29770522e-06,2.30358251e-06,8.55208914e-01,8.56301984e-01
95,9.12161948e-01,2.77549470e-06,-6.09661870e+00,6.00000000e+06,2.00000000e+06,5.87583402e+06,4.52770953e-07,9.25000000e-01,6.00000000e-01,9.59549624e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.41975501e-08,5.50000000e+00,5.50000000e+00,5.75729774e+06,1.80000000e+06,5.75729774e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.43201042e+06,5.32550041e+06,2.80000000e+05,1.27024410e-01,1.27024410e-01,0.00000000e+00,0,1.22478310e-01,3.82000000e+00,3.82479164e+00,1.49193262e-06,1.49380403e-06,6.89127638e-01,6.89559709e-01
99,8.26063319e-01,2.95010362e-06,-6.12532444e+00,6.00000000e+06,2.00000000e+06,5.32121622e+06,4.10034070e-07,9.25000000e-01,6.00000000e-01,8.99590942e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.04899586e-08,5.50000000e+00,5.50000000e+00,5.39754565e+06,1.80000000e+06,5.39754565e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.09258433e+06,4.99272973e+06,2.80000000e+05,1.08807694e-01,1.08807694e-01,0.00000000e+00,0,1.26793045e-01,3.82000000e+00,3.82528124e+00,1.60274230e-06,1.60495813e-06,7.14260960e-01,7.14754531e-01
100,6.97711098e-01,2.91289029e-06,-6.17421625e+00,6.00000000e+06,2.00000000e+06,4.49441529e+06,3.46323719e-07,9.25000000e-01,6.00000000e-01,8.10207058e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.46613890e-08,5.50000000e+00,5.50000000e+00,4.86124235e+06,1.80000000e+06,4.86124235e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.58658216e+06,4.49664917e+06,2.80000000e+05,8.36658794e-02,8.36658794e-02,0.00000000e+00,0,1.35202302e-01,3.82000000e+00,3.82632562e+00,1.80748896e-06,1.81048202e-06,7.58512759e-01,7.59140518e-01
109,6.97361809e-01,2.79434828e-06,-6.17436123e+00,6.00000000e+06,2.00000000e+06,4.49216529e+06,3.46150342e-07,9.25000000e-01,6.00000000e-01,8.09963815e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.46449685e-08,5.50000000e+00,5.50000000e+00,4.85978289e+06,1.80000000e+06,4.85978289e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.58520516e+06,4.49529917e+06,2.80000000e+05,8.36008699e-02,8.36008699e-02,0.00000000e+00,0,1.35229410e-01,3.82000000e+00,3.82632919e+00,1.80812683e-06,1.81112263e-06,7.58646588e-01,7.59274811e-01
118,7.64305947e-02,2.00140399e-06,-6.81448851e+00,6.00000000e+06,2.00000000e+06,4.92339644e+05,3.79379487e-08,9.25000000e-01,6.00000000e-01,3.77550232e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.45022580e-08,5.50000000e+00,5.50000000e+00,2.26530139e+06,1.80000000e+06,2.26530139e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.13731186e+06,2.09540379e+06,2.80000000e+05,3.37396041e-03,3.37396041e-03,0.00000000e+00,0,5.75136854e-01,3.82000000e+00,4.18982402e+00,5.50696489e-06,6.04010832e-06,1.32397937e+00,1.38658797e+00
120,7.78811199e-01,2.75694583e-06,-6.14237854e+00,6.00000000e+06,2.00000000e+06,5.01683429e+06,3.86579477e-07,9.25000000e-01,6.00000000e-01,8.66684788e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.83894786e-08,5.50000000e+00,5.50000000e+00,5.20010873e+06,1.80000000e+06,5.20010873e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.90630258e+06,4.81010057e+06,2.80000000e+05,9.92652879e-02,9.92652879e-02,0.00000000e+00,0,1.29566486e-01,3.82000000e+00,3.82561232e+00,1.67183471e-06,1.67429096e-06,7.29494014e-01,7.30029701e-01
126,1.70691265e-02,1.99119953e-06,-7.24852580e+00,6.00000000e+06,2.00000000e+06,1.09953451e+05,8.47262340e-09,9.25000000e-01,6.00000000e-01,3.36211184e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.89932147e-09,5.50000000e+00,5.50000000e+00,2.01726710e+06,1.80000000e+06,2.01726710e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.90329151e+06,1.86597207e+06,2.80000000e+05,6.40864244e-04,6.40864244e-04,0.00000000e+00,0,2.29331945e+00,3.82000000e+00,2.18478297e+01,4.17951540e-06,2.39040158e-05,1.15342146e+00,2.75842066e+00
128,1.29867478e-02,2.23411103e-06,-7.32766640e+00,6.00000000e+06,2.00000000e+06,8.36561695e+04,6.44624805e-09,9.25000000e-01,6.00000000e-01,3.33368235e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.00697622e-09,5.50000000e+00,5.50000000e+00,2.00020941e+06,1.80000000e+06,2.00020941e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.88719758e+06,1.85019370e+06,2.80000000e+05,5.01221870e-04,5.01221870e-04,0.00000000e+00,0,2.98873565e+00,3.82000000e+00,4.17652950e+01,3.54561724e-06,3.87653796e-05,1.06235824e+00,3.51274872e+00
129,1.13411936e+00,2.62559541e-06,-6.03356082e+00,6.00000000e+06,2.00000000e+06,7.30560744e+06,5.62944228e-07,9.25000000e-01,4.10000000e-01,8.64017847e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,7.31594687e-08,5.50000000e+00,5.50000000e+00,5.18410708e+06,1.80000000e+06,5.18410708e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.89120503e+06,4.79529905e+06,2.80000000e+05,1.23789738e-01,1.23789738e-01,0.00000000e+00,0,1.29806081e-01,3.82000000e+00,3.82564153e+00,2.64949220e-06,2.65340508e-06,9.18346101e-01,9.19023976e-01
131,7.19026457e-01,2.49451120e-06,-6.16550342e+00,6.00000000e+06,2.00000000e+06,4.63172151e+06,3.56904051e-07,9.25000000e-01,6.00000000e-01,8.25050974e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.56573093e-08,5.50000000e+00,5.50000000e+00,4.95030584e+06,1.80000000e+06,4.95030584e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.67061356e+06,4.57903291e+06,2.80000000e+05,8.76687734e-02,8.76687734e-02,0.00000000e+00,0,1.33597892e-01,3.82000000e+00,3.82611695e+00,1.76949251e-06,1.77232599e-06,7.50497808e-01,7.51098452e-01
